Player,Team,PS,GP,Min,FGM,FGA,X3M,X3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,Sta,PM
"price,a.j.",cle,PG,21,281,48,123,15,50,16,24,6,29,40,7,13,0,10,0,127,0,0,0,0,-41
"price,ronnie",lal,PG,43,983,77,223,31,109,36,45,19,69,165,67,52,4,118,2,221,0,0,0,20,-74
"prigioni,pablo",hou,PG,51,883,71,176,45,129,22,26,23,89,124,56,51,1,61,0,209,3,0,0,3,-84
"prince,tayshaun",det,SF,45,1075,133,300,25,53,39,49,39,152,68,20,24,12,40,0,330,0,0,0,16,-65
"raduljica,miros",min,C,5,24,3,8,0,0,2,2,2,5,0,1,2,0,8,0,8,0,0,0,0,-3
"randle,julius",lal,PF,1,14,1,3,0,0,0,2,0,0,0,0,1,0,1,0,2,0,0,0,0,-18
"randolph,shavlik",bos,PF,19,123,9,34,0,5,5,10,16,34,4,5,3,3,16,0,23,0,0,0,1,-25
"randolph,zach",mem,PF,55,1794,356,728,5,13,183,243,186,618,107,54,124,13,135,1,900,4,0,0,55,332
"redick,j.j.",lac,SG,62,1895,329,709,150,352,142,160,19,131,105,31,76,6,110,0,950,3,0,0,62,404
"rice,glen",was,SG,5,42,3,15,1,7,4,6,2,4,2,0,2,0,11,0,11,0,0,0,0,-22
"richardson,jason",phi,SG,9,220,33,97,15,50,10,11,5,35,21,8,8,2,20,0,91,1,0,0,9,-34
"ridnour,luke",orl,PG,39,546,57,137,14,46,15,17,8,60,80,14,31,2,55,0,143,0,0,0,0,-95
"rivers,austin",lac,SG,61,1287,167,415,31,108,70,102,24,122,135,42,54,10,118,0,435,5,0,0,5,-114
"roberson,andre",okl,SG,58,1126,81,175,17,70,23,48,56,231,62,47,40,27,116,0,202,1,0,0,56,104
"roberts,brian",cha,PG,62,1191,154,391,50,162,57,63,11,93,142,22,50,6,69,0,415,0,0,0,10,-70
"robinson,glenn",phi,SF,26,117,8,26,1,6,12,16,4,14,4,3,3,0,5,0,29,0,0,0,0,26
"robinson,nate",lac,PG,37,529,75,228,26,102,29,44,16,45,86,15,24,3,72,0,205,2,0,0,1,-111
"robinson,thomas",phi,PF,42,565,80,167,0,2,36,73,68,223,17,22,43,13,75,0,196,1,0,0,4,49
"rondo,rajon",dal,PG,54,1608,215,524,23,74,20,63,59,309,433,78,167,6,123,1,473,2,0,0,54,-19
"rose,derrick",chi,PG,46,1431,316,776,72,251,142,174,34,144,231,31,148,16,61,0,846,3,0,0,46,106
