Player,Team,PS,GP,Min,FGM,FGA,X3M,X3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,Sta,PM
"black,tarik",lal,PF,45,755,89,159,0,1,36,67,96,238,26,11,36,12,102,1,214,0,0,0,21,-21
"blair,dejuan",was,C,23,135,20,42,0,0,3,4,11,43,3,3,10,1,31,0,43,0,0,0,0,-47
"blake,steve",por,PG,63,1246,96,254,57,163,24,33,13,111,228,32,81,5,102,0,273,3,0,0,0,60
"bledsoe,eric",pho,PG,66,2265,381,834,76,216,294,364,64,354,398,109,227,40,160,1,1132,7,0,0,66,54
"bogdanovic,bojan",bro,SF,60,1358,168,398,61,187,72,87,41,161,46,25,58,6,84,0,469,0,0,0,28,-135
"bogut,andrew",gsw,C,50,1185,146,263,0,0,21,38,96,399,131,31,79,83,138,0,313,0,0,0,48,396
"bonner,matt",san,PF,56,782,81,205,40,111,28,33,24,92,40,9,10,11,56,0,230,0,0,0,18,63
"booker,trevor",uta,PF,63,1165,175,352,20,60,59,99,106,296,55,34,75,26,107,1,429,2,0,0,1,9
"boozer,carlos",lal,PF,62,1521,338,664,0,0,87,141,95,435,81,37,78,10,163,2,763,2,0,0,26,-257
"bosh,chris",mia,PF,44,1557,343,745,63,168,179,232,46,310,95,41,95,24,69,0,928,0,0,0,44,-91
"bradley,avery",bos,PG,61,1916,344,808,96,271,64,81,36,181,100,64,84,11,142,0,848,0,0,0,61,-53
"brand,elton",atl,PF,23,303,27,62,0,0,7,15,24,73,14,10,10,17,38,0,61,0,0,0,1,44
"brewer,corey",hou,SF,63,1653,278,639,58,200,132,179,62,217,145,99,106,12,144,1,746,2,0,0,17,-89
"brooks,aaron",chi,PG,67,1440,272,644,98,243,118,142,21,125,198,39,124,12,156,2,760,6,0,0,11,115
"brown,jabari",lal,SG,1,18,3,6,0,2,1,4,0,2,1,0,1,0,1,0,7,0,0,0,0,-2
"brown,lorenzo",min,PG,11,108,7,19,2,4,5,10,2,13,16,3,8,0,11,0,21,0,0,0,1,-17
"brown,markel",bro,SG,29,392,40,109,9,37,28,34,8,59,19,15,20,7,31,0,117,1,0,0,11,-21
"brown,shannon",mia,PG,5,89,7,19,3,7,3,4,0,1,3,4,4,0,8,0,20,0,0,0,2,-16
"bryant,kobe",lal,SG,35,1206,266,713,54,184,196,241,26,199,197,47,128,7,65,0,782,4,0,0,35,-294
"budinger,chase",min,SF,50,725,80,211,25,78,27,35,16,118,36,23,33,5,38,0,212,0,0,0,3,-232
"bullock,reggie",pho,SG,31,287,24,58,15,40,4,5,0,40,7,9,7,4,18,0,67,0,0,0,2,8
"burke,trey",uta,PG,64,1954,306,831,100,316,90,118,25,166,283,49,105,15,104,0,802,0,0,0,42,-86
"burks,alec",uta,PG,27,899,121,300,26,68,106,129,19,114,82,17,52,5,64,0,374,1,0,0,27,-129
"butler,caron",det,SF,62,1283,121,314,54,166,46,51,21,166,58,35,37,3,101,0,342,0,0,0,5,-70
"butler,jimmy",chi,SG,55,2142,361,782,59,168,329,391,98,326,179,95,82,32,91,0,1110,1,0,0,55,136
"butler,rasual",was,SF,60,1243,187,432,79,204,43,53,23,160,57,23,43,19,82,0,496,0,0,0,0,-41
"caboclo,bruno",tor,SF,4,16,3,9,2,3,0,0,1,2,0,0,1,1,1,0,8,0,0,0,0,-6
"calathes,nick",mem,SG,43,582,76,177,9,35,17,34,8,68,108,49,41,4,67,0,178,1,0,0,0,65
"calderon,jose",nyk,PG,42,1269,147,354,59,142,29,32,19,124,198,31,75,0,76,0,382,0,0,0,42,-340
"caldwell-pope,ke",det,SG,66,2042,296,756,120,353,81,118,38,199,81,71,73,18,129,0,793,2,0,0,66,-41
"canaan,isaiah",phi,PG,38,721,109,274,66,178,32,40,17,68,72,19,44,2,59,0,316,1,0,0,20,-49
"capela,clint",hou,C,6,20,0,10,0,0,0,8,3,8,1,1,3,1,3,0,0,0,0,0,0,-23
"carroll,demarre",atl,SF,56,1752,237,502,95,241,99,137,76,286,85,73,52,12,131,1,668,3,0,0,55,152
"carter,vince",mem,SG,50,789,107,312,49,175,30,39,19,92,60,34,32,10,70,0,293,3,0,0,0,19
carter-williams,mil,PG,51,1666,279,718,33,138,156,229,48,289,356,78,204,21,120,1,747,3,0,0,47,-257
"casspi,omri",sac,SF,51,933,124,266,10,38,99,132,44,188,62,16,58,8,71,0,357,2,0,0,5,-155
"chalmers,mario",mia,PG,64,1965,224,551,58,200,177,231,20,170,261,106,141,8,202,2,683,1,0,0,36,-129
"chandler,tyson",dal,C,61,1868,243,361,0,0,151,201,245,705,70,36,85,74,135,0,637,10,0,0,61,227
"chandler,wilson",den,SF,63,1981,336,788,114,338,77,98,74,372,101,42,92,26,187,1,863,0,0,0,60,-164
"cherry,will",cle,PG,8,70,5,19,2,9,3,6,1,5,8,6,4,1,10,0,15,0,0,0,0,-7
"christopher,patr",uta,SG,4,29,3,12,0,4,0,0,2,6,0,1,1,0,6,0,6,0,0,0,1,-18
"clark,ian",uta,SG,22,147,14,40,8,22,5,5,4,13,9,6,7,2,12,0,41,0,0,0,0,-44
"clarkson,jordan",lal,PG,42,889,150,347,24,78,73,90,32,106,102,28,51,6,64,0,397,0,0,0,21,-163
"claver,victor",por,PF,10,75,9,20,6,11,0,0,3,20,1,1,4,1,12,0,24,0,0,0,0,21
"cole,norris",nor,PG,58,1443,163,412,39,137,47,66,12,131,205,50,80,10,102,0,412,1,0,0,24,-124
"collison,darren",sac,PG,45,1562,260,550,60,161,145,184,19,143,251,67,112,14,95,0,725,0,0,0,45,34
"collison,nick",okl,PF,58,942,89,218,14,55,37,53,78,214,75,32,41,21,132,0,229,2,0,0,2,46
"conley,mike",mem,PG,60,1911,347,772,91,236,193,224,27,190,319,79,136,10,117,0,978,1,0,0,60,198
"cooley,jack",uta,SF,1,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,-1
"copeland,chris",ind,SF,46,818,111,307,51,164,33,45,23,109,49,11,59,11,76,0,306,0,0,0,12,-19
"cotton,bryce",uta,PG,4,13,1,4,1,2,2,2,0,2,2,1,1,0,1,0,5,0,0,0,0,-2
"cousins,demarcus",sac,C,51,1726,419,893,2,5,371,466,154,626,165,73,215,82,210,10,1211,11,0,0,51,43
"covington,robert",phi,SF,53,1479,223,567,123,329,125,153,50,246,75,80,95,22,138,1,694,0,0,0,38,-121
"crabbe,allen",por,SG,39,480,40,95,22,58,8,9,5,43,30,13,10,14,52,0,110,0,0,0,7,8
"crawford,jamal",lac,SG,60,1615,322,803,115,345,223,247,17,120,150,55,88,13,100,0,982,5,0,0,4,89
"crowder,jae",bos,SF,66,1220,168,398,54,160,55,73,58,210,69,56,36,20,99,0,445,0,0,0,16,30
"cunningham,dante",nor,PF,49,1247,120,262,1,6,25,38,55,181,36,36,27,27,72,0,266,0,0,0,24,-7
"cunningham,jared",lac,SG,19,91,12,33,4,13,7,13,1,9,10,3,7,0,12,0,35,0,0,0,0,-5
"curry,stephen",pho,PG,64,2085,513,1063,214,508,246,272,44,278,493,136,194,15,127,0,1486,2,0,0,63,740
"dalembert,samuel",nyk,C,32,544,57,130,0,0,14,20,53,168,29,14,39,41,70,0,128,0,0,0,21,-176
"daniels,troy",cha,SG,39,276,35,110,27,86,5,6,6,25,17,3,14,0,30,0,102,0,0,0,0,-57
"datome,luigi",bos,SF,10,91,21,43,7,18,0,0,2,15,4,1,4,3,8,0,49,0,0,0,0,35
"davies,brandon",bro,PF,27,424,55,137,8,34,24,37,38,83,30,18,29,7,59,1,142,0,0,0,6,-161
"davis,anthony",nor,PF,53,1890,504,925,1,9,288,347,140,543,95,76,75,149,108,0,1297,1,0,0,53,207
"davis,ed",lal,PF,64,1534,231,380,0,0,75,149,188,477,78,41,42,81,166,3,537,0,0,0,24,-189
"davis,glen",lac,PF,59,709,98,206,0,3,47,76,34,132,29,36,27,15,105,1,243,0,0,0,0,-45
"dawkins,andre",mia,SG,4,22,1,6,1,6,0,0,0,2,1,0,1,0,3,0,3,0,0,0,0,-4
"daye,austin",san,SF,26,271,40,114,19,56,4,4,6,61,9,8,18,3,30,0,103,0,0,0,4,-42
"dedmon,dewayne",orl,C,48,638,74,131,0,1,26,52,92,220,7,12,35,41,109,1,174,1,0,0,6,31
"dellavedova,matt",cle,SG,52,1059,77,225,46,122,23,32,32,102,143,17,44,2,124,0,223,0,0,0,11,-27
"deng,luol",mia,SF,57,1906,295,614,61,167,164,215,80,283,112,55,94,17,89,0,815,2,0,0,57,28
"derozan,demar",tor,SG,44,1499,286,713,13,60,245,300,27,186,142,58,94,7,97,0,830,3,0,0,44,106
"diaw,boris",san,PF,63,1520,202,453,41,132,52,72,57,263,181,31,96,19,117,0,497,1,0,0,14,102
"dieng,gorgui",min,C,64,1875,219,439,1,5,170,214,207,550,131,59,108,102,162,1,609,0,0,0,40,-319
"dinwiddie,spence",det,PG,26,342,37,120,9,52,21,23,2,34,74,12,24,4,36,1,104,0,0,0,1,-36
"dorsey,joey",hou,PF,52,598,56,103,0,0,13,46,78,195,16,31,31,21,114,0,125,1,0,0,11,8
"douglas,toney",nor,PG,3,66,9,22,3,7,6,10,1,7,12,4,5,2,5,0,27,0,0,0,0,6
"douglas-roberts,",lac,SG,12,103,5,21,1,7,8,8,1,12,4,1,0,0,14,0,19,0,0,0,0,-14
"dragic,goran",mia,SG,62,2066,398,791,74,212,137,181,62,217,260,66,136,10,152,1,1007,4,0,0,61,79
"dragic,zoran",mia,SG,8,19,2,8,0,5,2,3,2,3,1,0,0,0,3,0,6,0,0,0,0,-13
"drew,larry",phi,PG,12,220,20,58,4,26,2,3,1,15,45,6,25,0,13,0,46,0,0,0,1,-73
"drummond,andre",det,C,66,1968,377,749,0,1,105,274,345,872,38,60,99,116,225,6,859,4,0,0,66,-84
"dudley,jared",mil,SG,64,1530,180,384,69,173,46,63,42,197,113,60,54,9,99,0,475,2,0,0,21,151
"duncan,tim",san,PF,59,1750,330,668,1,4,176,246,141,565,173,50,109,110,135,0,837,1,0,0,59,136
"dunleavy,mike",chi,SF,48,1396,152,354,83,200,48,59,19,180,85,23,42,18,91,0,435,1,0,0,48,121
"durant,kevin",okl,SF,27,914,238,467,64,159,146,171,16,178,110,24,74,25,40,0,686,4,0,0,27,168
"early,cleanthony",nyk,SF,30,496,53,157,15,56,24,35,15,71,26,17,25,10,40,0,145,1,0,0,7,-105
"ellington,wayne",lal,SG,55,1388,210,493,69,192,47,58,26,181,87,29,40,2,66,0,536,1,0,0,30,-75
"ellis,monta",dal,SG,67,2253,507,1139,77,247,189,248,32,160,289,128,164,22,163,0,1280,2,0,0,67,195
"ennis,james",mia,SF,50,744,65,166,20,62,53,62,36,122,30,23,30,13,65,0,203,0,0,0,1,-45
"ennis,tyler",mil,PG,20,258,37,97,9,30,4,5,4,23,47,11,30,4,22,0,87,0,0,0,1,-38
"evans,jeremy",uta,SF,26,136,15,28,1,2,5,8,10,38,7,4,2,11,14,0,36,0,0,0,0,13
"evans,reggie",sac,PF,36,628,45,108,0,2,52,83,79,238,24,15,36,4,76,0,142,1,0,0,5,-75
"evans,tyreke",nor,SG,63,2180,417,953,55,187,169,240,67,332,407,77,194,28,159,3,1058,3,0,0,60,115
"exum,dante",uta,SG,65,1389,115,318,65,200,20,31,22,108,152,32,79,12,112,0,315,0,0,0,24,103
"ezeli,festus",gsw,C,31,339,50,93,0,0,29,45,35,99,6,6,28,28,60,1,129,1,0,0,7,-22
"faried,kenneth",den,PF,61,1673,286,570,1,5,144,213,184,539,75,46,93,49,156,1,717,5,0,0,57,1
"farmar,jordan",lac,PG,36,528,61,158,35,97,10,11,8,43,67,20,32,5,52,1,167,0,0,0,0,-43
"favors,derrick",uta,C,61,1918,406,749,0,2,191,285,160,499,96,52,95,103,169,0,1003,0,0,0,61,38
"felton,raymond",dal,PG,19,130,15,49,3,13,7,8,0,11,24,5,7,3,6,0,40,0,0,0,1,-44
"fields,landry",tor,SG,20,206,20,39,1,2,5,6,10,22,14,11,8,0,9,0,46,0,0,0,9,-67
"fournier,evan",orl,SG,56,1612,244,558,80,214,101,141,26,145,118,40,78,2,115,0,669,1,0,0,32,-150
"foye,randy",den,SG,38,686,88,247,53,156,29,37,3,45,76,17,39,10,68,0,258,0,0,0,8,-50
"frazier,tim",phi,PG,6,173,13,43,3,11,5,15,4,19,43,6,18,0,16,0,34,0,0,0,3,6
"fredette,jimmer",nor,PG,45,471,60,155,8,46,38,40,8,36,53,13,27,2,38,0,166,0,0,0,0,61
"freeland,joel",por,C,34,428,46,99,0,0,16,19,51,143,13,5,21,16,66,1,108,4,0,0,8,65
"frye,channing",orl,PF,66,1734,176,446,127,321,28,32,22,268,86,43,73,38,178,2,507,2,0,0,49,-262
"gallinari,danilo",den,SF,48,1059,155,413,76,221,126,140,26,162,55,34,43,12,66,0,512,0,0,0,16,-14
"galloway,langsto",nyk,PG,28,846,114,285,36,101,40,53,29,123,82,29,33,9,81,1,304,0,0,0,24,-152
"garcia,francisco",hou,SG,14,201,17,63,10,45,1,4,3,17,15,9,10,5,20,0,45,0,0,0,0,-10
"garnett,kevin",min,PF,47,948,143,306,1,7,36,45,48,311,77,46,46,17,109,0,323,8,0,0,47,-25
"gasol,marc",mem,C,65,2211,432,869,2,14,297,367,91,510,248,56,143,112,161,0,1163,5,0,0,65,204
"gasol,pau",chi,PF,63,2191,457,928,8,18,236,292,182,761,173,20,135,126,125,0,1158,0,0,0,63,98
"gay,rudy",sac,SF,60,2132,446,979,69,187,279,329,87,352,223,61,162,34,138,1,1240,8,0,0,59,-120
"gee,alonzo",por,SF,44,539,71,144,11,26,49,69,29,72,20,32,28,6,46,0,202,0,0,0,0,-77
"gibson,taj",chi,PF,49,1377,206,420,0,0,107,152,138,324,62,27,61,62,133,1,519,1,0,0,14,24
"ginobili,manu",san,SG,56,1326,217,509,77,219,127,176,21,168,249,53,128,15,114,0,638,0,0,0,0,219
"gobert,rudy",uta,C,65,1574,189,307,0,2,112,180,192,560,75,48,81,150,135,1,490,3,0,0,20,-24
"gooden,drew",was,PF,36,523,65,169,11,38,21,27,45,130,26,14,21,8,62,0,162,0,0,0,3,-34
"goodwin,archie",pho,SG,26,243,36,98,9,23,35,47,16,40,23,5,20,5,30,0,116,0,0,0,0,-76
"gordon,aaron",orl,PF,32,495,64,126,11,28,31,46,24,100,19,10,30,14,48,0,170,0,0,0,6,-126
"gordon,ben",orl,SG,52,725,117,270,32,87,51,61,6,57,44,14,48,1,55,0,317,1,0,0,0,-119
"gordon,drew",phi,PF,9,72,8,19,0,3,1,2,7,18,2,1,8,0,7,0,17,0,0,0,0,-34
"gordon,eric",nor,SG,44,1465,205,490,101,219,74,89,19,127,173,40,96,11,107,0,585,0,0,0,44,55
"gortat,marcin",was,C,66,1968,348,623,0,3,101,145,142,571,70,37,89,87,149,1,797,4,0,0,66,234
"granger,danny",mia,SF,31,611,65,162,30,84,28,37,20,80,17,13,24,6,67,0,188,0,0,0,6,-107
"grant,jerami",phi,SF,50,986,95,252,36,102,88,143,41,146,51,31,60,52,100,2,314,0,0,0,1,-118
"green,danny",san,SG,63,1853,257,595,152,375,89,103,47,284,114,84,75,75,128,0,755,1,0,0,62,234
"green,draymond",gsw,SF,65,2074,277,629,94,276,109,163,95,532,235,105,108,89,210,1,757,11,0,0,65,684
"green,erick",den,PG,28,218,36,91,6,26,8,9,2,16,18,7,10,0,14,0,86,0,0,0,0,-90
"green,gerald",pho,SG,62,1240,264,650,114,330,82,97,31,164,80,39,91,11,133,1,724,3,0,0,4,0
"green,jamychal",mem,PF,13,89,16,28,0,4,4,6,9,23,1,0,9,3,15,0,36,0,0,0,1,-30
"green,jeff",mem,SF,62,1953,330,789,76,241,202,241,52,261,111,44,89,25,116,1,938,1,0,0,58,-118
"green,willie",orl,SG,42,747,93,238,29,86,23,29,13,66,57,18,37,4,67,0,238,0,0,0,2,-51
"griffin,blake",lac,PF,51,1799,448,894,8,21,245,341,100,385,262,47,113,21,151,3,1149,10,0,0,51,348
"gutierrez,jorge",mil,PG,17,140,17,33,0,3,7,9,4,22,18,5,9,0,20,0,41,0,0,0,1,0
"hairston,p.j.",cha,SG,35,528,68,212,42,134,17,20,15,71,16,16,17,13,50,0,195,1,0,0,2,-50
"hamilton,jordan",lac,SG,7,66,9,21,6,11,0,0,1,9,2,0,3,0,9,0,24,0,0,0,2,19
"hamilton,justin",min,C,27,358,42,90,7,24,11,12,30,62,15,12,12,10,41,0,102,0,0,0,5,-66
"hansbrough,tyler",tor,PF,57,721,51,107,1,7,57,89,77,186,15,21,15,11,103,0,160,1,0,0,2,139
"hardaway,tim",nyk,SG,62,1483,248,638,105,309,105,131,11,141,109,17,68,13,110,1,706,2,0,0,26,-329
"harden,james",hou,SG,64,2347,510,1150,161,432,533,617,60,369,454,125,258,50,165,1,1714,6,0,0,64,309
"harkless,maurice",orl,SF,34,494,44,114,7,42,19,31,25,79,24,25,20,7,52,0,114,0,0,0,1,-56
"harris,devin",dal,PG,63,1431,185,451,83,240,111,134,12,120,206,68,68,13,121,0,564,0,0,0,3,128
"harris,gary",den,SG,39,495,41,158,14,77,24,33,16,48,21,30,30,5,50,0,120,0,0,0,3,-109
"harris,joe",cle,SG,46,434,41,103,29,75,8,13,6,35,22,7,19,1,50,1,119,0,0,0,1,-72
"harris,tobias",orl,SF,57,1981,366,793,70,189,166,210,59,358,111,61,100,32,122,1,968,3,0,0,52,-251
"haslem,udonis",mia,PF,47,667,66,159,1,4,39,57,46,173,31,12,22,9,76,0,172,1,0,0,11,-109
"hawes,spencer",lac,PF,57,1090,144,359,48,151,37,60,28,222,77,22,46,50,143,0,373,5,0,0,15,-30
"hayes,chuck",tor,C,25,218,19,40,0,0,6,11,11,39,17,10,8,3,33,0,44,1,0,0,0,40
"hayward,gordon",uta,SG,64,2232,421,927,104,276,307,381,43,313,269,90,181,24,121,0,1253,0,0,0,64,94
"haywood,brendan",cle,C,21,105,12,27,0,0,6,10,6,28,2,2,10,8,16,0,30,0,0,0,1,-48
"henderson,gerald",cha,SG,62,1767,271,620,34,107,142,162,29,205,173,38,84,19,98,0,718,7,0,0,54,49
"henry,xavier",lal,SF,9,83,3,13,0,0,14,24,2,4,3,3,3,0,6,0,20,0,0,0,0,14
"henson,john",mil,C,51,936,147,256,1,1,68,109,82,229,43,21,69,94,116,0,363,3,0,0,11,-23
"hibbert,roy",ind,C,59,1503,243,549,0,1,131,158,118,422,64,12,89,102,171,2,617,6,0,0,59,-85
"hickson,j.j.",den,C,58,1117,175,363,0,2,96,165,116,367,48,24,77,31,109,0,446,0,0,0,6,-221
"hilario,nene",was,PF,57,1417,264,504,1,5,102,163,65,279,111,61,99,19,156,2,631,4,0,0,47,225
"hill,george",ind,PG,26,676,135,306,39,113,69,88,16,98,121,25,38,7,62,0,378,2,1,0,19,124
"hill,jordan",lal,PF,59,1632,310,664,2,5,113,150,150,468,84,28,89,49,140,1,735,1,0,0,51,-341
"hill,solomon",ind,SF,65,1936,204,518,53,172,137,167,56,256,147,59,90,15,140,0,598,0,0,0,61,-199
"hinrich,kirk",chi,SG,55,1404,125,344,50,153,34,47,19,105,131,42,65,12,128,0,334,3,0,0,22,17
"holiday,jrue",nor,PG,37,1245,226,509,47,128,63,74,30,131,262,60,89,22,103,1,562,0,0,0,37,77
"holiday,justin",gsw,SG,44,467,68,172,29,83,21,27,9,53,31,28,20,8,34,0,186,0,0,0,1,6
"hollins,ryan",sac,C,38,347,36,58,0,0,26,41,28,82,13,5,23,15,49,0,98,2,0,0,8,-67
"hood,rodney",uta,SG,36,692,82,220,40,114,37,52,6,82,45,18,31,9,82,0,241,1,0,0,7,15
"horford,al",atl,PF,62,1906,418,778,10,30,99,126,107,466,203,50,81,82,103,0,945,1,0,0,62,257
"howard,dwight",hou,C,32,1030,202,351,1,2,117,222,90,351,45,21,98,44,112,1,522,6,0,0,32,164
"hummel,robbie",min,SF,36,540,60,123,12,37,19,24,28,99,22,14,15,8,59,0,151,0,0,0,4,-83
"humphries,kris",was,PF,56,1191,188,397,0,4,78,102,109,375,49,30,45,22,114,0,454,1,0,0,16,-63
"ibaka,serge",okl,PF,64,2119,374,786,77,205,92,110,135,498,56,30,97,154,194,4,917,2,0,0,64,162
"iguodala,andre",gsw,SG,61,1644,175,372,55,158,50,89,39,214,174,75,71,20,81,0,455,2,0,0,0,365
"ilyasova,ersan",mil,PF,42,852,167,355,40,114,42,68,51,182,33,23,33,12,105,0,416,0,0,0,20,6
"ingles,joe",uta,SF,62,1297,99,250,45,144,25,33,15,146,154,57,71,8,93,1,268,2,0,0,26,-30
"irving,kyrie",cle,PG,62,2310,485,1034,129,315,265,305,43,198,323,93,146,16,121,0,1364,1,0,0,62,383
"jack,jarrett",bro,PG,62,1863,296,663,29,117,147,169,17,197,307,64,160,12,122,1,768,1,0,0,27,-285
"jackson,reggie",det,PG,61,1736,312,746,54,195,120,137,39,248,285,49,127,7,124,0,798,1,0,0,24,-12
"james,bernard",dal,C,9,105,8,15,0,0,12,14,12,26,4,0,3,10,9,0,28,0,0,0,2,5
"james,lebron",cle,SF,56,2034,519,1058,98,282,324,453,38,325,410,87,236,39,112,0,1460,5,0,0,56,453
"jefferson,al",cha,C,54,1690,415,858,2,4,96,146,84,474,96,40,54,72,115,0,928,3,0,0,50,-89
"jefferson,cory",bro,PF,38,422,61,133,2,12,21,38,35,115,15,6,14,14,43,0,145,0,0,0,1,53
"jefferson,richar",dal,SF,61,1042,116,259,53,126,54,85,23,163,51,26,42,11,93,0,339,0,0,0,11,18
"jenkins,john",atl,SG,15,147,25,47,11,22,6,6,0,25,3,2,6,0,8,0,67,0,0,0,1,23
"jennings,brandon",det,PG,41,1172,218,543,76,211,120,143,21,104,272,44,90,4,64,0,632,3,0,0,41,32
"jerebko,jonas",bos,PF,58,911,122,263,43,105,39,47,63,187,55,31,33,15,101,0,326,1,0,0,0,75
"jerrett,grant",uta,PF,6,29,3,17,1,13,0,0,1,4,1,0,2,2,7,0,7,0,0,0,0,-21
"johnson,amir",tor,PF,62,1638,251,434,14,35,67,109,131,361,90,38,90,51,189,1,583,1,0,0,61,60
"johnson,chris",uta,SF,16,325,33,89,17,58,8,10,5,39,9,15,9,7,24,0,91,0,0,0,2,-49
"johnson,james",tor,PF,56,1147,201,337,10,42,51,76,50,219,77,48,62,64,125,1,463,4,0,0,17,127
"johnson,joe",bro,SG,62,2173,358,824,95,262,114,140,44,297,214,44,118,14,96,0,925,0,0,0,62,-97
"johnson,nick",hou,SG,19,189,18,53,5,17,14,18,7,26,7,7,12,2,24,0,55,0,0,0,0,-28
"johnson,tyler",mia,SG,18,341,49,98,14,29,23,33,7,38,25,17,21,5,23,0,135,0,0,0,1,-45
"johnson,wesley",lal,SF,60,1728,213,510,74,205,77,92,48,229,97,48,64,37,125,2,577,0,0,0,43,-197
"jones,dahntay",lac,PG,20,85,4,14,0,3,8,9,1,6,2,3,1,0,15,0,16,0,0,0,0,-39
"jones,james",cle,SF,43,475,54,143,48,127,24,29,6,51,18,9,10,5,43,0,180,0,0,0,1,-77
"jones,perry",okl,SF,36,568,66,160,14,54,23,34,5,71,14,13,22,7,45,0,169,0,0,0,13,-113
"jones,terrence",hou,PF,22,614,113,219,8,25,44,68,58,165,20,14,24,40,50,0,278,1,0,0,14,93
"jordan,deandre",lac,C,66,2268,303,423,1,4,143,351,315,965,43,66,87,141,194,0,750,7,0,0,66,371
"jordan,jerome",bro,C,39,359,48,88,0,0,32,38,51,101,13,8,21,15,57,0,128,0,0,0,0,-78
"joseph,cory",san,PG,61,1236,177,352,13,38,94,126,38,152,151,35,56,16,90,0,461,1,0,0,14,117
"kaman,chris",por,C,60,1190,229,463,0,0,65,92,116,398,54,14,93,48,124,1,523,5,0,0,13,-21
"kanter,enes",okc,C,59,1617,347,693,13,41,126,165,191,478,43,28,110,19,146,2,833,3,0,0,58,-53
"karasev,sergey",bro,SG,33,558,54,134,16,54,29,38,22,66,46,23,24,1,45,0,153,0,0,0,16,18
"kelly,ryan",lal,PF,34,667,45,155,22,62,47,58,9,89,36,14,24,9,64,0,159,0,0,0,20,-77
"kidd-gilchrist,m",cha,SF,48,1356,197,420,0,0,132,192,93,364,70,28,56,29,99,1,526,1,0,0,45,95
"kirilenko,andrei",bro,SF,7,37,0,5,0,0,3,4,2,8,1,1,1,0,1,0,3,0,0,0,0,-29
"kirk,alex",cle,C,5,15,1,4,0,0,2,2,1,1,1,0,0,0,1,0,4,0,0,0,0,-14
"knight,brandon",pho,PG,62,2018,374,878,125,315,194,221,28,242,327,89,187,10,113,1,1067,1,0,0,61,-80
"korver,kyle",atl,SG,63,2084,255,510,192,380,92,102,14,262,161,44,95,35,119,1,794,0,0,0,63,534
"koufos,kosta",mem,C,65,1080,139,278,0,0,45,71,88,325,31,26,54,54,123,0,323,3,0,0,3,39
"kuzmic,ognjen",gsw,C,16,72,8,12,0,0,4,4,7,17,6,2,5,1,13,0,20,0,0,0,0,-39
"lamb,jeremy",okl,SG,41,586,94,226,37,102,46,51,7,96,42,21,27,6,50,1,271,0,0,0,8,-55
"landry,carl",sac,PF,58,985,158,305,0,0,96,115,88,231,24,12,45,14,115,1,412,1,0,0,7,-187
"larkin,shane",nyk,PG,59,1324,131,312,30,93,40,51,19,118,150,69,57,6,116,1,332,0,0,0,14,-267
"lauvergne,joffre",den,PF,11,149,18,57,2,12,8,16,18,44,4,5,15,6,19,0,46,0,0,0,1,-83
"lavine,zach",min,PG,59,1210,167,404,25,85,82,99,15,126,180,43,122,7,114,0,441,0,0,0,23,-364
"lawson,ty",den,PG,62,2217,340,774,63,178,238,324,35,199,604,79,152,5,117,0,981,0,0,0,62,-56
"ledo,ricky",dal,SG,5,12,0,6,0,3,1,2,1,2,1,0,2,0,1,0,1,0,0,0,0,-3
"lee,courtney",mem,SG,63,1941,243,531,80,188,95,108,18,148,132,62,64,10,103,1,661,0,0,0,60,164
"lee,david",gsw,PF,38,716,129,253,0,2,57,85,65,211,76,29,39,25,67,0,315,0,0,0,1,56
"lee,malcolm",phi,SG,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"len,alex",pho,C,63,1369,163,313,1,3,70,99,124,413,27,32,66,96,196,4,397,1,0,0,38,-10
"leonard,kawhi",san,SF,46,1481,270,586,45,144,144,184,71,345,115,98,70,37,94,0,729,0,0,0,46,216
"leonard,meyers",por,C,40,582,88,162,37,79,22,24,30,161,17,7,23,9,84,0,235,0,0,0,4,-5
"leuer,jon",mem,PF,56,788,118,265,7,28,37,59,48,201,44,17,33,9,84,1,280,0,0,0,6,-37
"lillard,damian",por,PG,63,2280,455,1048,155,448,281,326,41,304,392,84,169,17,128,0,1346,1,0,0,63,371
"lin,jeremy",lal,PG,63,1628,233,540,55,151,168,215,20,163,300,72,138,26,163,1,689,0,0,0,23,-202
"livingston,shaun",gsw,PG,63,1159,165,321,0,2,49,68,35,149,201,40,78,19,90,0,379,1,0,0,2,39
"lopez,brook",bro,C,54,1481,338,697,1,10,154,192,142,368,32,28,87,87,162,0,831,1,0,0,26,-144
"lopez,robin",por,C,40,1133,166,314,0,1,65,84,136,281,41,14,50,63,94,0,397,1,0,0,40,171
"love,kevin",cle,PF,64,2201,356,828,122,335,242,301,126,647,149,45,99,31,127,0,1076,1,0,0,64,339
"lowry,kyle",tor,PG,62,2171,395,947,116,346,230,285,49,283,429,98,154,12,188,1,1136,5,0,0,62,196
"lucas,john",det,PG,12,141,20,50,6,16,2,2,2,6,36,5,6,0,11,0,48,0,0,0,0,-3
"lucas,kalin",mem,PG,1,6,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-7
